Period,States and Territories,SA4 name,SA3 name,SA2 name,ATMs,Bank_post,Branch,Other face-to-face,Total,ATM_prop,Branch_prop,Bank_post_prop,Other_prop
2021-06-30,SA,Adelaide - South,Onkaparinga,Aberfoyle Park,4,1,1,0,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0
2021-06-30,SA,Adelaide - South,Onkaparinga,Aldinga,0,2,1,0,3,0.0,0.3333333333333333,0.6666666666666666,0.0
2021-06-30,SA,Adelaide - South,Onkaparinga,Christie Downs,7,1,3,0,11,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.0
2021-06-30,SA,Adelaide - South,Onkaparinga,Christies Beach,4,4,2,0,10,0.4,0.2,0.4,0.0
2021-06-30,SA,Adelaide - South,Onkaparinga,Clarendon,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - South,Onkaparinga,Flagstaff Hill,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - South,Onkaparinga,Hackham - Onkaparinga Hills,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - South,Onkaparinga,Happy Valley,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - South,Onkaparinga,McLaren Vale,2,1,3,0,6,0.3333333333333333,0.5,0.16666666666666666,0.0
2021-06-30,SA,Adelaide - South,Onkaparinga,Morphett Vale - East,1,1,0,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2021-06-30,SA,Adelaide - South,Onkaparinga,Morphett Vale - West,5,1,4,0,10,0.5,0.4,0.1,0.0
2021-06-30,SA,Adelaide - South,Onkaparinga,Reynella,1,1,1,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2021-06-30,SA,Adelaide - South,Onkaparinga,Seaford - Seaford Meadows,5,1,3,1,10,0.5,0.3,0.1,0.1
2021-06-30,SA,Adelaide - South,Onkaparinga,Willunga,1,1,0,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2021-06-30,SA,Adelaide - West,Charles Sturt,Beverley,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - West,Charles Sturt,Flinders Park,1,2,1,0,4,0.25,0.25,0.5,0.0
2021-06-30,SA,Adelaide - West,Charles Sturt,Henley Beach,2,3,2,0,7,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0
2021-06-30,SA,Adelaide - West,Charles Sturt,Hindmarsh - Brompton,1,2,1,0,4,0.25,0.25,0.5,0.0
2021-06-30,SA,Adelaide - West,Charles Sturt,Royal Park - Hendon - Albert Park,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - West,Charles Sturt,Seaton - Grange,1,2,0,0,3,0.3333333333333333,0.0,0.6666666666666666,0.0
2021-06-30,SA,Adelaide - West,Charles Sturt,West Lakes,13,2,8,0,23,0.5652173913043478,0.34782608695652173,0.08695652173913043,0.0
2021-06-30,SA,Adelaide - West,Charles Sturt,Woodville - Cheltenham,10,1,4,0,15,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.0
2021-06-30,SA,Adelaide - West,Port Adelaide - West,Largs Bay - Semaphore,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - West,Port Adelaide - West,North Haven,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - West,Port Adelaide - West,Port Adelaide,7,3,6,0,16,0.4375,0.375,0.1875,0.0
2021-06-30,SA,Adelaide - West,Port Adelaide - West,The Parks,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - West,West Torrens,Adelaide Airport,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,SA,Adelaide - West,West Torrens,Fulham,1,0,0,0,1,1.0,0.0,0.0,0.0
2021-06-30,SA,Adelaide - West,West Torrens,Lockleys,1,1,0,1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2021-06-30,SA,Adelaide - West,West Torrens,Plympton,2,2,1,0,5,0.4,0.2,0.4,0.0
2021-06-30,SA,Adelaide - West,West Torrens,Richmond (SA),8,2,5,0,15,0.5333333333333333,0.3333333333333333,0.13333333333333333,0.0
2021-06-30,SA,Adelaide - West,West Torrens,West Beach,1,1,1,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2021-06-30,SA,Barossa - Yorke - Mid North,Barossa,Barossa - Angaston,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,SA,Barossa - Yorke - Mid North,Barossa,Light,0,4,1,0,5,0.0,0.2,0.8,0.0
2021-06-30,SA,Barossa - Yorke - Mid North,Barossa,Lyndoch,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,SA,Barossa - Yorke - Mid North,Barossa,Mallala,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Barossa - Yorke - Mid North,Barossa,Nuriootpa,4,1,3,1,9,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111
2021-06-30,SA,Barossa - Yorke - Mid North,Barossa,Tanunda,4,1,3,0,8,0.5,0.375,0.125,0.0
2021-06-30,SA,Barossa - Yorke - Mid North,Lower North,Clare,5,1,4,3,13,0.38461538461538464,0.3076923076923077,0.07692307692307693,0.23076923076923078
2021-06-30,SA,Barossa - Yorke - Mid North,Lower North,Gilbert Valley,1,5,0,0,6,0.16666666666666666,0.0,0.8333333333333334,0.0
2021-06-30,SA,Barossa - Yorke - Mid North,Lower North,Goyder,1,5,0,1,7,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285
2021-06-30,SA,Barossa - Yorke - Mid North,Lower North,Wakefield - Barunga West,1,9,1,0,11,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.0
2021-06-30,SA,Barossa - Yorke - Mid North,Mid North,Jamestown,2,4,3,3,12,0.16666666666666666,0.25,0.3333333333333333,0.25
2021-06-30,SA,Barossa - Yorke - Mid North,Mid North,Peterborough - Mount Remarkable,1,7,1,1,10,0.1,0.1,0.7,0.1
2021-06-30,SA,Barossa - Yorke - Mid North,Mid North,Port Pirie,8,2,6,1,17,0.47058823529411764,0.35294117647058826,0.11764705882352941,0.058823529411764705
